Equipment_ID	Timestamp	Target	is_Pump	is_Motor	Days_Since_Last_Breakdown	Breakdown_Count_Last_90_Days	Critical_Parts_Stockout	Max_Lead_Time_for_Critical_Part	Active_Production_Orders_Count	Hours_Booked_Next_24h	Avg_Vibration_Last_1_Hour	Temp_vs_7Day_Avg_Delta
PMP-001	2025-11-22 2:00:00	0	1	0	59	0	0	14	1	6	2.1	-0.2
												
MOT-105	2025-11-22 3:00:00	1	0	1	19	2	1	30	0	0	9.8	8.9
												
COM-210	2025-11-22 4:00:00	0	0	0	134	0	0	21	1	8	1.1	-1.5
												
PMP-001	2025-11-22 5:00:00	0	1	0	60	0	0	14	2	12	2.3	0.1
												
MOT-105	2025-11-22 6:00:00	1	0	1	20	2	1	30	0	0	10	9.2
												
COM-210	2025-11-22 7:00:00	0	0	0	135	0	0	21	2	16	1.3	-1
												
PMP-001	2025-11-22 8:00:00	0	1	0	61	0	0	14	1	10	2	-0.3
												
MOT-105	2025-11-22 9:00:00	1	0	1	21	2	1	30	0	0	10.3	9.5
												
COM-210	2025-11-22 10:00:00	0	0	0	136	0	0	21	1	9	1	-1.6
												
PMP-001	2025-11-22 11:00:00	0	1	0	62	0	0	14	2	13	2.2	0
												
MOT-105	2025-11-22 12:00:00	1	0	1	22	2	1	30	0	0	10.5	9.8
												
COM-210	2025-11-22 13:00:00	0	0	0	137	0	0	21	2	18	1.2	-1.1
												
PMP-001	2025-11-22 14:00:00	0	1	0	63	0	0	14	1	7	2.1	-0.4
												
MOT-105	2025-11-22 15:00:00	1	0	1	23	2	1	30	0	0	10.8	10.1
												
COM-210	2025-11-22 16:00:00	0	0	0	2	1	0	21	1	13	4	2.1
												
PMP-001	2025-11-22 17:00:00	0	1	0	64	0	0	14	2	16	2.3	0.3
												
MOT-105	2025-11-22 18:00:00	1	0	1	24	2	1	30	0	0	11	10.4
												
COM-210	2025-11-22 19:00:00	0	0	0	3	1	0	21	2	20	4.2	2.5
												
PMP-001	2025-11-22 20:00:00	0	1	0	65	0	0	14	1	11	2	-0.1
												
MOT-105	2025-11-22 21:00:00	1	0	1	25	2	1	30	0	0	11.3	10.7
												
COM-210	2025-11-22 22:00:00	0	0	0	4	1	0	21	1	14	4.4	2.9
												
PMP-001	2025-11-22 23:00:00	0	1	0	66	0	0	14	2	17	2.2	0
												
MOT-105	2025-11-23 0:00:00	1	0	1	26	2	1	30	0	0	11.5	11
												
COM-210	2025-11-23 1:00:00	0	0	0	5	1	0	21	2	15	4.6	3.3
												
PMP-001	2025-11-23 2:00:00	0	1	0	67	0	0	14	1	6	2.1	-0.2
												
MOT-105	2025-11-23 3:00:00	1	0	1	27	2	1	30	0	0	11.8	11.3
												
COM-210	2025-11-23 4:00:00	0	0	0	6	1	0	21	1	8	4.8	3.7
												
PMP-001	2025-11-23 5:00:00	0	1	0	68	0	0	14	2	12	2.3	0.1
												
MOT-105	2025-11-23 6:00:00	1	0	1	28	2	1	30	0	0	12	11.6
												
COM-210	2025-11-23 7:00:00	0	0	0	7	1	0	21	2	16	5	4.1
												
PMP-001	2025-11-23 8:00:00	0	1	0	69	0	0	14	1	10	2	-0.3
												
MOT-105	2025-11-23 9:00:00	1	0	1	29	2	1	30	0	0	12.3	11.9
												
COM-210	2025-11-23 10:00:00	0	0	0	8	1	0	21	1	9	5.2	4.5
												
PMP-001	2025-11-23 11:00:00	0	1	0	70	0	0	14	2	13	2.2	0
												
MOT-105	2025-11-23 12:00:00	1	0	1	30	2	1	30	0	0	12.5	12.2
												
COM-210	2025-11-23 13:00:00	0	0	0	9	1	0	21	2	18	5.4	4.9
												
PMP-001	2025-11-23 14:00:00	0	1	0	71	0	0	14	1	7	2.1	-0.4
												
MOT-105	2025-11-23 15:00:00	1	0	1	31	2	1	30	0	0	12.8	12.5
												
COM-210	2025-11-23 16:00:00	0	0	0	10	1	0	21	1	13	5.6	5.3
												
PMP-001	2025-11-23 17:00:00	0	1	0	72	0	0	14	2	16	2.3	0.3
												
MOT-105	2025-11-23 18:00:00	1	0	1	32	2	1	30	0	0	13	12.8
												
COM-210	2025-11-23 19:00:00	0	0	0	11	1	0	21	2	20	5.8	5.7
												
PMP-001	2025-11-23 20:00:00	0	1	0	73	0	0	14	1	11	2	-0.1
												
MOT-105	2025-11-23 21:00:00	1	0	1	33	2	1	30	0	0	13.3	13.1
												
COM-210	2025-11-23 22:00:00	0	0	0	12	1	0	21	1	14	6	6.1
												
PMP-001	2025-11-23 23:00:00	0	1	0	74	0	0	14	2	17	2.2	0
												
MOT-105	2025-11-24 0:00:00	1	0	1	34	2	1	30	0	0	13.5	13.4
												
COM-210	2025-11-24 1:00:00	0	0	0	13	1	0	21	2	15	6.2	6.5
												
PMP-001	2025-11-24 2:00:00	0	1	0	75	0	0	14	1	6	2.1	-0.2
												
MOT-105	2025-11-24 3:00:00	1	0	1	35	2	1	30	0	0	13.8	13.7
												
COM-210	2025-11-24 4:00:00	0	0	0	14	1	0	21	1	8	6.4	6.9
												
PMP-001	2025-11-24 5:00:00	0	1	0	76	0	0	14	2	12	2.3	0.1
												
MOT-105	2025-11-24 6:00:00	1	0	1	36	2	1	30	0	0	14	14
												
COM-210	2025-11-24 7:00:00	0	0	0	15	1	0	21	2	16	6.6	7.3
												
PMP-001	2025-11-24 8:00:00	0	1	0	77	0	0	14	1	10	2	-0.3
												
MOT-105	2025-11-24 9:00:00	1	0	1	37	2	1	30	0	0	14.3	14.3
												
COM-210	2025-11-24 10:00:00	0	0	0	16	1	0	21	1	9	6.8	7.7
												
PMP-001	2025-11-24 11:00:00	0	1	0	78	0	0	14	2	13	2.2	0
												
MOT-105	2025-11-24 12:00:00	1	0	1	38	2	1	30	0	0	14.5	14.6
												
COM-210	2025-11-24 13:00:00	0	0	0	17	1	0	21	2	18	7	8.1
												
PMP-001	2025-11-24 14:00:00	0	1	0	79	0	0	14	1	7	2.1	-0.4
												
MOT-105	2025-11-24 15:00:00	1	0	1	39	2	1	30	0	0	14.8	14.9
												
COM-210	2025-11-24 16:00:00	0	0	0	18	1	0	21	1	13	7.2	8.5
												
PMP-001	2025-11-24 17:00:00	0	1	0	80	0	0	14	2	16	2.3	0.3
												
MOT-105	2025-11-24 18:00:00	1	0	1	40	2	1	30	0	0	15	15.2
												
COM-210	2025-11-24 19:00:00	0	0	0	19	1	0	21	2	20	7.4	8.9
												
PMP-001	2025-11-24 20:00:00	0	1	0	81	0	0	14	1	11	2	-0.1
												
MOT-105	2025-11-24 21:00:00	1	0	1	41	2	1	30	0	0	15.3	15.5
												
COM-210	2025-11-24 22:00:00	0	0	0	20	1	0	21	1	14	7.6	9.3
												
PMP-001	2025-11-24 23:00:00	0	1	0	82	0	0	14	2	17	2.2	0
												
MOT-105	2025-11-25 0:00:00	1	0	1	42	2	1	30	0	0	15.5	15.8
												
COM-210	2025-11-25 1:00:00	0	0	0	21	1	0	21	2	15	7.8	9.7
												
PMP-001	2025-11-25 2:00:00	0	1	0	83	0	0	14	1	6	2.1	-0.2
												
MOT-105	2025-11-25 3:00:00	1	0	1	43	2	1	30	0	0	15.8	16.1
												
COM-210	2025-11-25 4:00:00	0	0	0	22	1	0	21	1	8	8	10.1
												
PMP-001	2025-11-25 5:00:00	0	1	0	84	0	0	14	2	12	2.3	0.1
												
MOT-105	2025-11-25 6:00:00	1	0	1	44	2	1	30	0	0	16	16.4
												
COM-210	2025-11-25 7:00:00	0	0	0	23	1	0	21	2	16	8.2	10.5
												
PMP-001	2025-11-25 8:00:00	0	1	0	85	0	0	14	1	10	2	-0.3
												
MOT-105	2025-11-25 9:00:00	1	0	1	45	2	1	30	0	0	16.3	16.7
												
COM-210	2025-11-25 10:00:00	0	0	0	24	1	0	21	1	9	8.4	10.9
												
PMP-001	2025-11-25 11:00:00	0	1	0	86	0	0	14	2	13	2.2	0
												
MOT-105	2025-11-25 12:00:00	1	0	1	46	2	1	30	0	0	16.5	17
												
COM-210	2025-11-25 13:00:00	0	0	0	25	1	0	21	2	18	8.6	11.3
												
PMP-001	2025-11-25 14:00:00	0	1	0	87	0	0	14	1	7	2.1	-0.4
												
MOT-105	2025-11-25 15:00:00	1	0	1	47	2	1	30	0	0	16.8	17.3
												
COM-210	2025-11-25 16:00:00	0	0	0	26	1	0	21	1	13	8.8	11.7
												
PMP-001	2025-11-25 17:00:00	0	1	0	88	0	0	14	2	16	2.3	0.3
												
MOT-105	2025-11-25 18:00:00	1	0	1	48	2	1	30	0	0	17	17.6
												
COM-210	2025-11-25 19:00:00	0	0	0	27	1	0	21	2	20	9	12.1
												
PMP-001	2025-11-25 20:00:00	0	1	0	89	0	0	14	1	11	2	-0.1
												
MOT-105	2025-11-25 21:00:00	1	0	1	49	2	1	30	0	0	17.3	17.9
												
COM-210	2025-11-25 22:00:00	0	0	0	28	1	0	21	1	14	9.2	12.5
												
PMP-001	2025-11-25 23:00:00	0	1	0	90	0	0	14	2	17	2.2	0
												
MOT-105	2025-11-26 0:00:00	1	0	1	50	2	1	30	0	0	17.5	18.2
												
COM-210	2025-11-26 1:00:00	0	0	0	29	1	0	21	2	15	9.4	12.9
												
PMP-001	2025-11-26 2:00:00	0	1	0	91	0	0	14	1	6	2.1	-0.2
												
MOT-105	2025-11-26 3:00:00	1	0	1	51	2	1	30	0	0	17.8	18.5
												
COM-210	2025-11-26 4:00:00	0	0	0	30	1	0	21	1	8	9.6	13.3
												
PMP-001	2025-11-26 5:00:00	0	1	0	92	0	0	14	2	12	2.3	0.1
												
MOT-105	2025-11-26 6:00:00	1	0	1	52	2	1	30	0	0	18	18.8
												
COM-210	2025-11-26 7:00:00	0	0	0	31	1	0	21	2	16	9.8	13.7
												
PMP-001	2025-11-26 8:00:00	0	1	0	93	0	0	14	1	10	2	-0.3
												
MOT-105	2025-11-26 9:00:00	1	0	1	53	2	1	30	0	0	18.3	19.1
												
COM-210	2025-11-26 10:00:00	0	0	0	32	1	0	21	1	9	10	14.1
												
PMP-001	2025-11-26 11:00:00	0	1	0	94	0	0	14	2	13	2.2	0
												
MOT-105	2025-11-26 12:00:00	1	0	1	54	2	1	30	0	0	18.5	19.4
												
COM-210	2025-11-26 13:00:00	0	0	0	33	1	0	21	2	18	10.2	14.5
												
PMP-001	2025-11-26 14:00:00	0	1	0	95	0	0	14	1	7	2.1	-0.4
												
MOT-105	2025-11-26 15:00:00	1	0	1	55	2	1	30	0	0	18.8	19.7
												
COM-210	2025-11-26 16:00:00	0	0	0	34	1	0	21	1	13	10.4	14.9
												
PMP-001	2025-11-26 17:00:00	0	1	0	96	0	0	14	2	16	2.3	0.3
												
MOT-105	2025-11-26 18:00:00	1	0	1	56	2	1	30	0	0	19	20
												
COM-210	2025-11-26 19:00:00	0	0	0	35	1	0	21	2	20	10.6	15.3
												
PMP-001	2025-11-26 20:00:00	0	1	0	97	0	0	14	1	11	2	-0.1
												
MOT-105	2025-11-26 21:00:00	1	0	1	57	2	1	30	0	0	19.3	20.3
												
COM-210	2025-11-26 22:00:00	0	0	0	36	1	0	21	1	14	10.8	15.7
												
PMP-001	2025-11-26 23:00:00	0	1	0	98	0	0	14	2	17	2.2	0
												
MOT-105	2025-11-27 0:00:00	1	0	1	58	2	1	30	0	0	19.5	20.6
												
COM-210	2025-11-27 1:00:00	0	0	0	37	1	0	21	2	15	11	16.1
												
PMP-001	2025-11-27 2:00:00	0	1	0	99	0	0	14	1	6	2.1	-0.2
												
MOT-105	2025-11-27 3:00:00	1	0	1	59	2	1	30	0	0	19.8	20.9
												
COM-210	2025-11-27 4:00:00	0	0	0	38	1	0	21	1	8	11.2	16.5
												
PMP-001	2025-11-27 5:00:00	0	1	0	100	0	0	14	2	12	2.3	0.1
												
MOT-105	2025-11-27 6:00:00	1	0	1	60	2	1	30	0	0	20	21.2
												
COM-210	2025-11-27 7:00:00	0	0	0	39	1	0	21	2	16	11.4	16.9
												
PMP-001	2025-11-27 8:00:00	0	1	0	101	0	0	14	1	10	2	-0.3
												
MOT-105	2025-11-27 9:00:00	1	0	1	61	2	1	30	0	0	20.3	21.5
												
COM-210	2025-11-27 10:00:00	0	0	0	40	1	0	21	1	9	11.6	17.3
												
PMP-001	2025-11-27 11:00:00	0	1	0	102	0	0	14	2	13	2.2	0
												
MOT-105	2025-11-27 12:00:00	1	0	1	62	2	1	30	0	0	20.5	21.8
												
COM-210	2025-11-27 13:00:00	0	0	0	41	1	0	21	2	18	11.8	17.7
												
PMP-001	2025-11-27 14:00:00	0	1	0	103	0	0	14	1	7	2.1	-0.4
												
MOT-105	2025-11-27 15:00:00	1	0	1	63	2	1	30	0	0	20.8	22.1
												
COM-210	2025-11-27 16:00:00	0	0	0	42	1	0	21	1	13	12	18.1
												
PMP-001	2025-11-27 17:00:00	0	1	0	104	0	0	14	2	16	2.3	0.3
												
MOT-105	2025-11-27 18:00:00	1	0	1	64	2	1	30	0	0	21	22.4
												
COM-210	2025-11-27 19:00:00	0	0	0	43	1	0	21	2	20	12.2	18.5
												
PMP-001	2025-11-27 20:00:00	0	1	0	105	0	0	14	1	11	2	-0.1
												
MOT-105	2025-11-27 21:00:00	1	0	1	65	2	1	30	0	0	21.3	22.7
												
COM-210	2025-11-27 22:00:00	0	0	0	44	1	0	21	1	14	12.4	18.9
												
PMP-001	2025-11-27 23:00:00	0	1	0	106	0	0	14	2	17	2.2	0
												
MOT-105	2025-11-28 0:00:00	1	0	1	66	2	1	30	0	0	21.5	23
												
COM-210	2025-11-28 1:00:00	0	0	0	45	1	0	21	2	15	12.6	19.3
												
PMP-001	2025-11-28 2:00:00	0	1	0	107	0	0	14	1	6	2.1	-0.2
												
MOT-105	2025-11-28 3:00:00	1	0	1	67	2	1	30	0	0	21.8	23.3
												
COM-210	2025-11-28 4:00:00	0	0	0	46	1	0	21	1	8	12.8	19.7
												
PMP-001	2025-11-28 5:00:00	0	1	0	108	0	0	14	2	12	2.3	0.1
												
MOT-105	2025-11-28 6:00:00	1	0	1	68	2	1	30	0	0	22	23.6
												
COM-210	2025-11-28 7:00:00	0	0	0	47	1	0	21	2	16	13	20.1
												
PMP-001	2025-11-28 8:00:00	0	1	0	109	0	0	14	1	10	2	-0.3
												
MOT-105	2025-11-28 9:00:00	1	0	1	69	2	1	30	0	0	22.3	23.9
												
COM-210	2025-11-28 10:00:00	0	0	0	48	1	0	21	1	9	13.2	20.5
												
PMP-001	2025-11-28 11:00:00	0	1	0	110	0	0	14	2	13	2.2	0
												
MOT-105	2025-11-28 12:00:00	1	0	1	70	2	1	30	0	0	22.5	24.2
												
COM-210	2025-11-28 13:00:00	0	0	0	49	1	0	21	2	18	13.4	20.9
												
PMP-001	2025-11-28 14:00:00	0	1	0	111	0	0	14	1	7	2.1	-0.4
												
MOT-105	2025-11-28 15:00:00	1	0	1	71	2	1	30	0	0	22.8	24.5
												
COM-210	2025-11-28 16:00:00	0	0	0	50	1	0	21	1	13	13.6	21.3
												
PMP-001	2025-11-28 17:00:00	0	1	0	112	0	0	14	2	16	2.3	0.3
												
MOT-105	2025-11-28 18:00:00	1	0	1	72	2	1	30	0	0	23	24.8
												
COM-210	2025-11-28 19:00:00	0	0	0	51	1	0	21	2	20	13.8	21.7
												
PMP-001	2025-11-28 20:00:00	0	1	0	113	0	0	14	1	11	2	-0.1
												
MOT-105	2025-11-28 21:00:00	1	0	1	73	2	1	30	0	0	23.3	25.1
												
COM-210	2025-11-28 22:00:00	0	0	0	52	1	0	21	1	14	14	22.1
												
PMP-001	2025-11-28 23:00:00	0	1	0	114	0	0	14	2	17	2.2	0
												
MOT-105	2025-11-29 0:00:00	1	0	1	74	2	1	30	0	0	23.5	25.4
												
COM-210	2025-11-29 1:00:00	0	0	0	53	1	0	21	2	15	14.2	22.5
												
PMP-001	2025-11-29 2:00:00	0	1	0	115	0	0	14	1	6	2.1	-0.2
												
MOT-105	2025-11-29 3:00:00	1	0	1	75	2	1	30	0	0	23.8	25.7
												
COM-210	2025-11-29 4:00:00	0	0	0	54	1	0	21	1	8	14.4	22.9
												
PMP-001	2025-11-29 5:00:00	0	1	0	116	0	0	14	2	12	2.3	0.1
												
MOT-105	2025-11-29 6:00:00	1	0	1	76	2	1	30	0	0	24	26
												
COM-210	2025-11-29 7:00:00	0	0	0	55	1	0	21	2	16	14.6	23.3
												
PMP-001	2025-11-29 8:00:00	0	1	0	117	0	0	14	1	10	2	-0.3
												
MOT-105	2025-11-29 9:00:00	1	0	1	77	2	1	30	0	0	24.3	26.3
												
COM-210	2025-11-29 10:00:00	0	0	0	56	1	0	21	1	9	14.8	23.7
												
PMP-001	2025-11-29 11:00:00	0	1	0	118	0	0	14	2	13	2.2	0
												
MOT-105	2025-11-29 12:00:00	1	0	1	78	2	1	30	0	0	24.5	26.6
												
COM-210	2025-11-29 13:00:00	0	0	0	57	1	0	21	2	18	15	24.1
												
PMP-001	2025-11-29 14:00:00	0	1	0	119	0	0	14	1	7	2.1	-0.4
												
MOT-105	2025-11-29 15:00:00	1	0	1	79	2	1	30	0	0	24.8	26.9
												
COM-210	2025-11-29 16:00:00	0	0	0	58	1	0	21	1	13	15.2	24.5
												
PMP-001	2025-11-29 17:00:00	0	1	0	120	0	0	14	2	16	2.3	0.3
												
MOT-105	2025-11-29 18:00:00	1	0	1	80	2	1	30	0	0	25	27.2
												
COM-210	2025-11-29 19:00:00	0	0	0	59	1	0	21	2	20	15.4	24.9
												
PMP-001	2025-11-29 20:00:00	0	1	0	121	0	0	14	1	11	2	-0.1
												
MOT-105	2025-11-29 21:00:00	1	0	1	81	2	1	30	0	0	25.3	27.5
												
COM-210	2025-11-29 22:00:00	0	0	0	60	1	0	21	1	14	15.6	25.3
												
PMP-001	2025-11-29 23:00:00	0	1	0	122	0	0	14	2	17	2.2	0
												
MOT-105	2025-11-30 0:00:00	1	0	1	82	2	1	30	0	0	25.5	27.8
												
COM-210	2025-11-30 1:00:00	0	0	0	61	1	0	21	2	15	15.8	25.7
												
PMP-001	2025-11-30 2:00:00	0	1	0	123	0	0	14	1	6	2.1	-0.2
												
MOT-105	2025-11-30 3:00:00	1	0	1	83	2	1	30	0	0	25.8	28.1
												
COM-210	2025-11-30 4:00:00	0	0	0	62	1	0	21	1	8	16	26.1
												
PMP-001	2025-11-30 5:00:00	0	1	0	124	0	0	14	2	12	2.3	0.1
												
MOT-105	2025-11-30 6:00:00	1	0	1	84	2	1	30	0	0	26	28.4
												
COM-210	2025-11-30 7:00:00	0	0	0	63	1	0	21	2	16	16.2	26.5
												
PMP-001	2025-11-30 8:00:00	0	1	0	125	0	0	14	1	10	2	-0.3
												
MOT-105	2025-11-30 9:00:00	1	0	1	85	2	1	30	0	0	26.3	28.7
												
COM-210	2025-11-30 10:00:00	0	0	0	64	1	0	21	1	9	16.4	26.9
												
PMP-001	2025-11-30 11:00:00	0	1	0	126	0	0	14	2	13	2.2	0
												
MOT-105	2025-11-30 12:00:00	1	0	1	86	2	1	30	0	0	26.5	29
												
COM-210	2025-11-30 13:00:00	0	0	0	65	1	0	21	2	18	16.6	27.3
												
PMP-001	2025-11-30 14:00:00	0	1	0	127	0	0	14	1	7	2.1	-0.4
												
MOT-105	2025-11-30 15:00:00	1	0	1	87	2	1	30	0	0	26.8	29.3
												
COM-210	2025-11-30 16:00:00	0	0	0	66	1	0	21	1	13	16.8	27.7
												
PMP-001	2025-11-30 17:00:00	0	1	0	128	0	0	14	2	16	2.3	0.3
												
MOT-105	2025-11-30 18:00:00	1	0	1	88	2	1	30	0	0	27	29.6
												
COM-210	2025-11-30 19:00:00	0	0	0	67	1	0	21	2	20	17	28.1
												
PMP-001	2025-11-30 20:00:00	0	1	0	129	0	0	14	1	11	2	-0.1
												
MOT-105	2025-11-30 21:00:00	1	0	1	89	2	1	30	0	0	27.3	29.9
												
COM-210	2025-11-30 22:00:00	0	0	0	68	1	0	21	1	14	17.2	28.5
												
PMP-001	2025-11-30 23:00:00	0	1	0	130	0	0	14	2	17	2.2	0
												
MOT-106	2025-11-20 8:00:00	0	0	1	250	0	0	30	0	0	1.5	-2
												
MOT-106	2025-11-20 9:00:00	0	0	1	251	0	0	30	0	0	1.6	-1.8
												
MOT-106	2025-11-20 10:00:00	0	0	1	252	0	0	30	0	0	1.4	-2.1
												
MOT-106	2025-11-20 11:00:00	0	0	1	253	0	0	30	0	0	1.7	-1.5
												
MOT-106	2025-11-20 12:00:00	0	0	1	254	0	0	30	0	0	1.8	-1.3
												
MOT-106	2025-11-20 13:00:00	0	0	1	255	0	0	30	0	0	1.9	-1
												
MOT-106	2025-11-20 14:00:00	0	0	1	256	0	0	30	0	0	2	-0.8
												
MOT-106	2025-11-20 15:00:00	0	0	1	257	0	0	30	0	0	2.1	-0.6
												
MOT-106	2025-11-20 16:00:00	0	0	1	258	0	0	30	0	0	2.2	-0.4
												
MOT-106	2025-11-20 17:00:00	0	0	1	259	0	0	30	0	0	2.3	-0.2
												
MOT-106	2025-11-20 18:00:00	0	0	1	260	0	0	30	0	0	2.4	0
												
MOT-106	2025-11-20 19:00:00	0	0	1	261	0	0	30	0	0	2.5	0.2
												
MOT-106	2025-11-20 20:00:00	0	0	1	262	0	0	30	0	0	2.6	0.4
												
MOT-106	2025-11-20 21:00:00	0	0	1	263	0	0	30	0	0	2.7	0.6
												
MOT-106	2025-11-20 22:00:00	0	0	1	264	0	0	30	0	0	2.8	0.8
												
MOT-106	2025-11-20 23:00:00	0	0	1	265	0	0	30	0	0	2.9	1
												
MOT-106	2025-11-21 0:00:00	0	0	1	266	0	0	30	0	0	3	1.2
												
MOT-106	2025-11-21 1:00:00	0	0	1	267	0	0	30	0	0	3.1	1.4
												
MOT-106	2025-11-21 2:00:00	0	0	1	268	0	0	30	0	0	3.2	1.6
												
MOT-106	2025-11-21 3:00:00	0	0	1	269	0	0	30	0	0	3.3	1.8
												
MOT-106	2025-11-21 4:00:00	0	0	1	270	0	0	30	0	0	3.4	2
												
MOT-106	2025-11-21 5:00:00	0	0	1	271	0	0	30	0	0	3.5	2.2
												
MOT-106	2025-11-21 6:00:00	0	0	1	272	0	0	30	0	0	3.6	2.4
												
MOT-106	2025-11-21 7:00:00	0	0	1	273	0	0	30	0	0	3.7	2.6
												
MOT-106	2025-11-21 8:00:00	0	0	1	274	0	0	30	0	0	3.8	2.8
												
MOT-106	2025-11-21 9:00:00	0	0	1	275	0	0	30	0	0	3.9	3
												
MOT-106	2025-11-21 10:00:00	0	0	1	276	0	0	30	0	0	4	3.2
												
MOT-106	2025-11-21 11:00:00	0	0	1	277	0	0	30	0	0	4.1	3.4
												
MOT-106	2025-11-21 12:00:00	0	0	1	278	0	0	30	0	0	4.2	3.6
												
MOT-106	2025-11-21 13:00:00	0	0	1	279	0	0	30	0	0	4.3	3.8
												
MOT-106	2025-11-21 14:00:00	0	0	1	280	0	0	30	0	0	4.4	4
												
MOT-106	2025-11-21 15:00:00	0	0	1	281	0	0	30	0	0	4.5	4.2
												
MOT-106	2025-11-21 16:00:00	0	0	1	282	0	0	30	0	0	4.6	4.4
												
MOT-106	2025-11-21 17:00:00	0	0	1	283	0	0	30	0	0	4.7	4.6
												
MOT-106	2025-11-21 18:00:00	0	0	1	284	0	0	30	0	0	4.8	4.8
												
MOT-106	2025-11-21 19:00:00	0	0	1	285	0	0	30	0	0	4.9	5
												
MOT-106	2025-11-21 20:00:00	0	0	1	286	0	0	30	0	0	5	5.2
												
MOT-106	2025-11-21 21:00:00	0	0	1	287	0	0	30	0	0	5.1	5.4
												
MOT-106	2025-11-21 22:00:00	0	0	1	288	0	0	30	0	0	5.2	5.6
												
